pupyear,sitedate,sitecode,region,lat,longit,brand,adjsex
2005,5/30/2005,SMI,8,34.03,-120.44,4580,F
2005,5/30/2005,SMI,8,34.03,-120.44,4774,F
2005,5/30/2005,SMI,8,34.03,-120.44,4836,F
2005,5/30/2005,SMI,8,34.03,-120.44,4857,F
2005,5/30/2005,SMI,8,34.03,-120.44,5014,F
2005,5/30/2005,SMI,8,34.03,-120.44,5140,F
2005,5/30/2005,SMI,8,34.03,-120.44,5201,F
2005,5/30/2005,SMI,8,34.03,-120.44,5664,F
2005,5/30/2005,SMI,8,34.03,-120.44,5705,F
2005,5/30/2005,SMI,8,34.03,-120.44,5712,F
2005,5/30/2005,SMI,8,34.03,-120.44,5747,F
2005,5/30/2005,SMI,8,34.03,-120.44,6076,F
2005,5/30/2005,SMI,8,34.03,-120.44,6088,M
2005,5/30/2005,SMI,8,34.03,-120.44,7651,F
2005,5/30/2005,SMI,8,34.03,-120.44,7837,F
2005,5/31/2005,SMI,8,34.03,-120.44,3519,F
2005,5/31/2005,SMI,8,34.03,-120.44,6639,F
2005,5/31/2005,SMI,8,34.03,-120.44,7259,M
2005,5/31/2005,SMI,8,34.03,-120.44,7348,F
2005,5/31/2005,SMI,8,34.03,-120.44,7772,M
2005,5/31/2005,SMI,8,34.03,-120.44,8155,M
2005,6/1/2005,SMI,8,34.03,-120.44,4709,F
2005,6/1/2005,SMI,8,34.03,-120.44,4867,M
2005,6/1/2005,SMI,8,34.03,-120.44,5909,F
2005,6/1/2005,SMI,8,34.03,-120.44,6264,F
2005,6/1/2005,SMI,8,34.03,-120.44,6603,F
2005,6/1/2005,SMI,8,34.03,-120.44,6714,M
2005,6/1/2005,SMI,8,34.03,-120.44,7219,F
2005,6/1/2005,SMI,8,34.03,-120.44,7345,M
2005,6/1/2005,SMI,8,34.03,-120.44,7772,M
2005,6/2/2005,SMI,8,34.03,-120.44,340,F
2005,6/2/2005,SMI,8,34.03,-120.44,542,F
2005,6/2/2005,SMI,8,34.03,-120.44,662,F
2005,6/2/2005,SMI,8,34.03,-120.44,718,F
2005,6/2/2005,SMI,8,34.03,-120.44,1225,F
2005,6/2/2005,SMI,8,34.03,-120.44,2395,F
2005,6/2/2005,SMI,8,34.03,-120.44,2910,F
2005,6/2/2005,SMI,8,34.03,-120.44,2942,F
2005,6/2/2005,SMI,8,34.03,-120.44,2988,F
2005,6/2/2005,SMI,8,34.03,-120.44,3006,F
2005,6/2/2005,SMI,8,34.03,-120.44,3159,F
2005,6/2/2005,SMI,8,34.03,-120.44,3169,F
2005,6/2/2005,SMI,8,34.03,-120.44,3243,F
2005,6/2/2005,SMI,8,34.03,-120.44,3498,F
2005,6/2/2005,SMI,8,34.03,-120.44,4917,F
2005,6/2/2005,SMI,8,34.03,-120.44,6277,F
2005,6/2/2005,SMI,8,34.03,-120.44,6506,F
2005,6/4/2005,SMI,8,34.03,-120.44,408,F
2005,6/4/2005,SMI,8,34.03,-120.44,552,F
2005,6/4/2005,SMI,8,34.03,-120.44,579,M
2005,6/4/2005,SMI,8,34.03,-120.44,753,M
2005,6/4/2005,SMI,8,34.03,-120.44,784,F
2005,6/4/2005,SMI,8,34.03,-120.44,788,F
2005,6/4/2005,SMI,8,34.03,-120.44,1214,F
2005,6/4/2005,SMI,8,34.03,-120.44,1909,F
2005,6/4/2005,SMI,8,34.03,-120.44,2258,F
2005,6/4/2005,SMI,8,34.03,-120.44,2297,F
2005,6/4/2005,SMI,8,34.03,-120.44,2398,F
2005,6/4/2005,SMI,8,34.03,-120.44,2515,F
2005,6/4/2005,SMI,8,34.03,-120.44,2608,F
2005,6/4/2005,SMI,8,34.03,-120.44,2635,F
2005,6/4/2005,SMI,8,34.03,-120.44,2896,F
2005,6/4/2005,SMI,8,34.03,-120.44,3073,F
2005,6/4/2005,SMI,8,34.03,-120.44,3213,F
2005,6/4/2005,SMI,8,34.03,-120.44,3264,F
2005,6/4/2005,SMI,8,34.03,-120.44,3274,F
2005,6/4/2005,SMI,8,34.03,-120.44,3331,F
2005,6/4/2005,SMI,8,34.03,-120.44,3346,F
2005,6/4/2005,SMI,8,34.03,-120.44,3807,F
2005,6/4/2005,SMI,8,34.03,-120.44,4024,F
2005,6/4/2005,SMI,8,34.03,-120.44,4083,F
2005,6/4/2005,SMI,8,34.03,-120.44,4260,F
2005,6/4/2005,SMI,8,34.03,-120.44,4388,F
2005,6/4/2005,SMI,8,34.03,-120.44,4712,F
2005,6/4/2005,SMI,8,34.03,-120.44,4717,F
2005,6/4/2005,SMI,8,34.03,-120.44,4779,F
2005,6/4/2005,SMI,8,34.03,-120.44,4788,F
2005,6/4/2005,SMI,8,34.03,-120.44,4992,F
2005,6/4/2005,SMI,8,34.03,-120.44,5037,F
2005,6/4/2005,SMI,8,34.03,-120.44,5077,F
2005,6/4/2005,SMI,8,34.03,-120.44,5245,F
2005,6/4/2005,SMI,8,34.03,-120.44,5314,F
2005,6/4/2005,SMI,8,34.03,-120.44,5332,F
2005,6/4/2005,SMI,8,34.03,-120.44,5359,F
2005,6/4/2005,SMI,8,34.03,-120.44,5472,F
2005,6/4/2005,SMI,8,34.03,-120.44,5647,F
2005,6/4/2005,SMI,8,34.03,-120.44,5686,F
2005,6/4/2005,SMI,8,34.03,-120.44,5798,F
2005,6/4/2005,SMI,8,34.03,-120.44,6405,F
2005,6/4/2005,SMI,8,34.03,-120.44,6907,F
2005,6/4/2005,SMI,8,34.03,-120.44,7037,F
