pupyear,sitedate,sitecode,region,lat,longit,brand,adjsex,code,withpup
98,6/27/1998,SMI,8,34.03,120.44,1024,F,WAC,
98,7/22/1998,SMI,8,34.03,120.44,1024,F,WAC,
98,7/23/1998,SMI,8,34.03,120.44,1024,F,WAC,
98,8/1/1998,SMI,8,34.03,120.44,1024,F,EAC,
99,7/7/1999,SMI,8,34.03,120.44,1024,F,WTB,N
99,7/11/1999,SMI,8,34.03,120.44,1024,F,EAC,
2000,5/27/2000,SMI,8,34.03,120.44,1024,F,WTB,
2000,6/2/2000,SMI,8,34.03,120.44,1024,F,WTB,
2001,5/25/2001,SMI,8,34.03,120.44,1024,F,LTC,
2001,7/29/2001,SMI,8,34.03,120.44,1024,F,SCV,
94,6/2/1994,ANI,9,37.18,122.4,1025,F,,
93,7/20/1993,SMI,8,34.03,120.44,1025,F,SSR,N
94,7/21/1994,SMI,8,34.03,120.44,1025,F,ETB,N
95,7/17/1995,SMI,8,34.03,120.44,1025,F,SCV,N
94,7/22/1994,SMI,8,34.03,120.44,1025,F,ETB,N
95,6/4/1995,SMI,8,34.03,120.44,1025,F,LTC,N
96,6/30/1996,SMI,8,34.03,120.44,1036,F,ETB,
2002,7/13/2002,SMI,8,34.03,120.44,1036,F,EJR,
92,7/2/1992,SMI,8,34.03,120.44,1038,F,EAC,N
96,6/6/1996,SMI,8,34.03,120.44,1040,F,PBS,Y
92,7/9/1992,SMI,8,34.03,120.44,1040,F,TYB,N
95,7/21/1995,SMI,8,34.03,120.44,1040,F,WTB,N
94,6/2/1994,SMI,8,34.03,120.44,1040,F,WBM,N
94,7/28/1994,SMI,8,34.03,120.44,1040,F,EJR,N
97,5/25/1997,SMI,8,34.03,120.44,1040,F,EAC,
97,6/12/1997,SMI,8,34.03,120.44,1040,F,NWC,
97,6/16/1997,SMI,8,34.03,120.44,1040,F,NWC,
97,7/20/1997,SMI,8,34.03,120.44,1040,F,NEP,
98,7/30/1998,SMI,8,34.03,120.44,1040,F,CWP,
99,6/22/1999,SMI,8,34.03,120.44,1040,F,NWC,Y
2000,6/6/2000,SMI,8,34.03,120.44,1040,F,ECK,P
2000,6/20/2000,SMI,8,34.03,120.44,1040,F,NWC,
2001,5/30/2001,SMI,8,34.03,120.44,1040,F,WTB,
2001,6/15/2001,SMI,8,34.03,120.44,1040,F,WTB,
2001,6/14/2001,SMI,8,34.03,120.44,1040,F,WTB,
2001,7/23/2001,SMI,8,34.03,120.44,1040,F,EACS,
2002,5/25/2002,SMI,8,34.03,120.44,1040,F,EAC,
2002,6/4/2002,SMI,8,34.03,120.44,1040,F,NWC,
2004,5/23/2004,SMI,8,34.03,120.44,1040,F,EAC,
2005,7/22/2005,SMI,8,34.03,120.44,1040,F,NWP,
95,7/31/1995,SMI,8,34.03,120.44,1041,F,EAC,N
95,7/16/1995,SMI,8,34.03,120.44,1041,F,EJR,N
97,6/1/1997,SMI,8,34.03,120.44,1041,F,EJR,
98,6/5/1998,SMI,8,34.03,120.44,1041,F,EAC,
97,6/13/1997,SMI,8,34.03,120.44,1041,F,WTB,
97,6/15/1997,SMI,8,34.03,120.44,1041,F,WTB,Y
97,6/18/1997,SMI,8,34.03,120.44,1041,F,WTB,Y
97,6/21/1997,SMI,8,34.03,120.44,1041,F,WTB,Y
98,6/22/1998,SMI,8,34.03,120.44,1041,F,WTB,
98,7/11/1998,SMI,8,34.03,120.44,1041,F,WTB,
98,7/18/1998,SMI,8,34.03,120.44,1041,F,WTB,
97,7/22/1997,SMI,8,34.03,120.44,1041,F,WTB,Y
97,7/22/1997,SMI,8,34.03,120.44,1041,F,WTB,Y
99,6/15/1999,SMI,8,34.03,120.44,1041,F,WAC,Y
2000,5/23/2000,SMI,8,34.03,120.44,1041,F,EJR,
2000,5/27/2000,SMI,8,34.03,120.44,1041,F,WJC,
2000,6/8/2000,SMI,8,34.03,120.44,1041,F,WAC,
2000,6/18/2000,SMI,8,34.03,120.44,1041,F,WTB,
2000,7/8/2000,SMI,8,34.03,120.44,1041,F,WTB,
2001,6/9/2001,SMI,8,34.03,120.44,1041,F,EACS,
2001,5/30/2001,SMI,8,34.03,120.44,1041,F,WTB,
2001,6/10/2001,SMI,8,34.03,120.44,1041,F,EACS,
2001,6/10/2001,SMI,8,34.03,120.44,1041,F,LNC,
2001,6/11/2001,SMI,8,34.03,120.44,1041,F,EACS,
2001,6/13/2001,SMI,8,34.03,120.44,1041,F,WTB,
2001,6/16/2001,SMI,8,34.03,120.44,1041,F,WTB,
2001,6/17/2001,SMI,8,34.03,120.44,1041,F,WTB,
2001,6/18/2001,SMI,8,34.03,120.44,1041,F,WTB,
2001,7/2/2001,SMI,8,34.03,120.44,1041,F,SCV,
2001,7/9/2001,SMI,8,34.03,120.44,1041,F,WTB,
2002,5/25/2002,SMI,8,34.03,120.44,1041,F,EACS,P
2002,6/6/2002,SMI,8,34.03,120.44,1041,F,EACS,Y
2002,6/8/2002,SMI,8,34.03,120.44,1041,F,EACS,Y
2002,6/9/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,6/10/2002,SMI,8,34.03,120.44,1041,F,EACS,Y
2002,6/16/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,6/21/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,6/22/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,6/29/2002,SMI,8,34.03,120.44,1041,F,EACS,Y
2002,7/4/2002,SMI,8,34.03,120.44,1041,F,EACS,Y
2002,7/8/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,7/12/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,7/17/2002,SMI,8,34.03,120.44,1041,F,EACS,Y
2002,7/23/2002,SMI,8,34.03,120.44,1041,F,EACS,
2002,7/28/2002,SMI,8,34.03,120.44,1041,F,EACS,
91,7/27/1991,SMI,8,34.03,120.44,1042,F,EAC,
91,8/12/1991,SMI,8,34.03,120.44,1042,F,EAC,
91,6/2/1991,SMI,8,34.03,120.44,1042,F,ACV,
97,7/3/1997,SMI,8,34.03,120.44,1042,F,SCV,
98,7/26/1998,SMI,8,34.03,120.44,1042,F,MAG,
99,5/23/1999,SMI,8,34.03,120.44,1042,F,SCV,
99,7/27/1999,SMI,8,34.03,120.44,1042,F,WCV,
2000,6/15/2000,SMI,8,34.03,120.44,1042,F,PBSS,Y
2001,6/19/2001,SMI,8,34.03,120.44,1042,F,WCV,
2001,6/23/2001,SMI,8,34.03,120.44,1042,F,WCV,
2001,7/6/2001,SMI,8,34.03,120.44,1042,F,WCV,
2002,7/8/2002,SMI,8,34.03,120.44,1042,F,WCV,
2003,6/1/2003,SMI,8,34.03,120.44,1042,F,WAC,P
2003,7/6/2003,SMI,8,34.03,120.44,1042,F,WCV,
2005,6/22/2005,SMI,8,34.03,120.44,1042,F,SCV,
2005,6/23/2005,SMI,8,34.03,120.44,1042,F,PBS,
2005,6/27/2005,SMI,8,34.03,120.44,1042,F,SCV,
2006,6/1/2006,SMI,8,34.03,120.44,1042,F,WAC,P
2006,6/24/2006,SMI,8,34.03,120.44,1042,F,WCV,
2006,7/22/2006,SMI,8,34.03,120.44,1042,F,WCV,
2007,6/18/2007,SMI,8,34.03,120.44,1042,F,WCV,
2007,6/24/2007,SMI,8,34.03,120.44,1042,F,WCV,
2007,6/28/2007,SMI,8,34.03,120.44,1042,F,WCV,
2007,7/7/2007,SMI,8,34.03,120.44,1042,F,WCV,
2007,7/9/2007,SMI,8,34.03,120.44,1042,F,WCV,
2007,7/14/2007,SMI,8,34.03,120.44,1042,F,WCV,
96,7/15/1996,SMI,8,34.03,120.44,1047,F,MAG,
96,6/26/1996,SMI,8,34.03,120.44,1047,F,MAG,
96,7/19/1996,SMI,8,34.03,120.44,1047,F,MAG,
96,7/23/1996,SMI,8,34.03,120.44,1047,F,LNC,
95,6/1/1995,SMI,8,34.03,120.44,1047,F,WCV,N
95,6/3/1995,SMI,8,34.03,120.44,1047,F,SCV,Y
97,6/14/1997,SMI,8,34.03,120.44,1047,F,MAG,
97,6/15/1997,SMI,8,34.03,120.44,1047,F,OCV,
98,7/2/1998,SMI,8,34.03,120.44,1047,F,CWP,
97,7/19/1997,SMI,8,34.03,120.44,1047,F,ETB,
97,7/15/1997,SMI,8,34.03,120.44,1047,F,EJR,
99,7/23/1999,SMI,8,34.03,120.44,1047,F,LNC,
2000,6/1/2000,SMI,8,34.03,120.44,1047,F,WAC,
2000,6/9/2000,SMI,8,34.03,120.44,1047,F,WSR,Y
2000,6/11/2000,SMI,8,34.03,120.44,1047,F,WSR,Y
2000,6/7/2000,SMI,8,34.03,120.44,1047,F,EACS,
2000,6/17/2000,SMI,8,34.03,120.44,1047,F,WSR,Y
2000,7/10/2000,SMI,8,34.03,120.44,1047,F,WSR,
2000,6/22/2000,SMI,8,34.03,120.44,1047,F,WSR,Y
2000,7/13/2000,SMI,8,34.03,120.44,1047,F,WSR,Y
2001,6/7/2001,SMI,8,34.03,120.44,1047,F,ESR,P
2001,5/26/2001,SMI,8,34.03,120.44,1047,F,EAC,
2001,5/31/2001,SMI,8,34.03,120.44,1047,F,EAC,
2001,6/8/2001,SMI,8,34.03,120.44,1047,F,WSR,P
2001,6/9/2001,SMI,8,34.03,120.44,1047,F,WSR,Y
2001,6/11/2001,SMI,8,34.03,120.44,1047,F,WSR,Y
2001,6/13/2001,SMI,8,34.03,120.44,1047,F,WSR,Y
2001,6/14/2001,SMI,8,34.03,120.44,1047,F,WSR,Y
2001,6/20/2001,SMI,8,34.03,120.44,1047,F,WSR,
2001,7/3/2001,SMI,8,34.03,120.44,1047,F,WSR,
2001,7/8/2001,SMI,8,34.03,120.44,1047,F,WSR,
2002,6/9/2002,SMI,8,34.03,120.44,1047,F,WSR,P
2002,6/11/2002,SMI,8,34.03,120.44,1047,F,WSR,Y
2002,6/18/2002,SMI,8,34.03,120.44,1047,F,WSR,
2002,6/23/2002,SMI,8,34.03,120.44,1047,F,WSR,
2002,6/29/2002,SMI,8,34.03,120.44,1047,F,WSR,
2002,7/11/2002,SMI,8,34.03,120.44,1047,F,WSR,
2002,7/17/2002,SMI,8,34.03,120.44,1047,F,WSR,
2003,6/12/2003,SMI,8,34.03,120.44,1047,F,WSR,
2003,6/22/2003,SMI,8,34.03,120.44,1047,F,WSR,
99,6/6/1999,SMI,8,34.03,120.44,105,F,EACS,
99,6/7/1999,SMI,8,34.03,120.44,105,F,EACS,
96,6/3/1996,SMI,8,34.03,120.44,1054,F,EAC,
94,6/10/1994,SMI,8,34.03,120.44,1054,F,EAC,N
94,6/11/1994,SMI,8,34.03,120.44,1054,F,WBM,N
93,7/25/1993,SMI,8,34.03,120.44,1054,F,EAC,N
91,6/2/1991,SMI,8,34.03,120.44,1054,F,ACV,N
94,7/22/1994,SMI,8,34.03,120.44,1054,F,ETB,N
94,6/14/1994,SMI,8,34.03,120.44,1054,F,EAC,N
94,6/19/1994,SMI,8,34.03,120.44,1054,F,EAC,N
94,6/20/1994,SMI,8,34.03,120.44,1054,F,EAC,N
94,6/23/1994,SMI,8,34.03,120.44,1054,F,EAC,N
94,6/27/1994,SMI,8,34.03,120.44,1054,F,EAC,N
94,6/28/1994,SMI,8,34.03,120.44,1054,F,EAC,N
97,5/22/1997,SMI,8,34.03,120.44,1054,F,EAC,P
97,5/24/1997,SMI,8,34.03,120.44,1054,F,EAC,
97,5/25/1997,SMI,8,34.03,120.44,1054,F,EAC,
97,6/11/1997,SMI,8,34.03,120.44,1054,F,LTC,Y
97,6/13/1997,SMI,8,34.03,120.44,1054,F,LTC,
97,6/14/1997,SMI,8,34.03,120.44,1054,F,LTC,Y
97,6/24/1997,SMI,8,34.03,120.44,1054,F,LTC,
98,7/17/1998,SMI,8,34.03,120.44,1054,F,LTC,
98,7/17/1998,SMI,8,34.03,120.44,1054,F,LTC,
98,7/27/1998,SMI,8,34.03,120.44,1054,F,EAC,
98,8/6/1998,SMI,8,34.03,120.44,1054,F,EAC,
2000,5/20/2000,SMI,8,34.03,120.44,1054,F,EAC,
2000,6/8/2000,SMI,8,34.03,120.44,1054,F,LTC,P
2000,6/9/2000,SMI,8,34.03,120.44,1054,F,LTC,
2000,6/11/2000,SMI,8,34.03,120.44,1054,F,WJC,Y
2000,6/4/2000,SMI,8,34.03,120.44,1054,F,LTC,
2000,6/16/2000,SMI,8,34.03,120.44,1054,F,WJC,Y
2000,6/18/2000,SMI,8,34.03,120.44,1054,F,WJC,Y
2001,5/24/2001,SMI,8,34.03,120.44,1054,F,EACS,
2001,6/15/2001,SMI,8,34.03,120.44,1054,F,WJR,P
2001,6/21/2001,SMI,8,34.03,120.44,1054,F,WJR,
2001,7/5/2001,SMI,8,34.03,120.44,1054,F,WJR,Y
2002,5/21/2002,SMI,8,34.03,120.44,1054,F,EACS,
2002,6/5/2002,SMI,8,34.03,120.44,1054,F,EACS,
2002,6/9/2002,SMI,8,34.03,120.44,1054,F,EACS,
2002,6/17/2002,SMI,8,34.03,120.44,1054,F,WJR,
2002,6/28/2002,SMI,8,34.03,120.44,1054,F,WJR,
2002,7/2/2002,SMI,8,34.03,120.44,1054,F,WJR,
96,7/10/1996,SMI,8,34.03,120.44,1055,F,LNC,
96,7/14/1996,SMI,8,34.03,120.44,1055,F,LNC,
95,7/15/1995,SMI,8,34.03,120.44,1055,F,ETB,N
94,7/22/1994,SMI,8,34.03,120.44,1055,F,ETB,N
95,6/8/1995,SMI,8,34.03,120.44,1055,F,CWP,N
94,7/21/1994,SMI,8,34.03,120.44,1055,F,EAC,N
95,7/21/1995,SMI,8,34.03,120.44,1055,F,ETB,N
94,8/8/1994,SMI,8,34.03,120.44,1055,F,EAC,N
98,6/4/1998,SMI,8,34.03,120.44,1055,F,EAC,
98,6/5/1998,SMI,8,34.03,120.44,1055,F,EAC,
98,6/6/1998,SMI,8,34.03,120.44,1055,F,EAC,
97,6/7/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/9/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/10/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/11/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/12/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
98,6/12/1998,SMI,8,34.03,120.44,1055,F,WAC,P
98,6/12/1998,SMI,8,34.03,120.44,1055,F,ETB,
97,6/13/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/14/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/18/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/20/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/24/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,6/28/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,7/2/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
97,7/3/1997,SMI,8,34.03,120.44,1055,F,EAC,
97,7/4/1997,SMI,8,34.03,120.44,1055,F,EAC,
97,7/8/1997,SMI,8,34.03,120.44,1055,F,EAC,
97,7/13/1997,SMI,8,34.03,120.44,1055,F,EAC,
98,7/13/1998,SMI,8,34.03,120.44,1055,F,EAC,
97,7/16/1997,SMI,8,34.03,120.44,1055,F,EAC,
98,7/18/1998,SMI,8,34.03,120.44,1055,F,EAC,
97,7/19/1997,SMI,8,34.03,120.44,1055,F,EAC,
97,7/24/1997,SMI,8,34.03,120.44,1055,F,EAC,
97,6/6/1997,SMI,8,34.03,120.44,1055,F,EAC,Y
99,5/24/1999,SMI,8,34.03,120.44,1055,F,EACS,P
99,5/25/1999,SMI,8,34.03,120.44,1055,F,EACS,P
99,5/25/1999,SMI,8,34.03,120.44,1055,F,LTC,
99,6/1/1999,SMI,8,34.03,120.44,1055,F,EACS,
99,6/2/1999,SMI,8,34.03,120.44,1055,F,EACS,
99,6/4/1999,SMI,8,34.03,120.44,1055,F,EACS,
99,6/6/1999,SMI,8,34.03,120.44,1055,F,WJR,
99,6/23/1999,SMI,8,34.03,120.44,1055,F,WJR,
99,6/27/1999,SMI,8,34.03,120.44,1055,F,WJR,
99,8/5/1999,SMI,8,34.03,120.44,1055,F,EACS,
2000,5/25/2000,SMI,8,34.03,120.44,1055,F,EACS,P
2000,6/11/2000,SMI,8,34.03,120.44,1055,F,ETB,Y
2000,6/17/2000,SMI,8,34.03,120.44,1055,F,ETB,Y
2000,6/15/2000,SMI,8,34.03,120.44,1055,F,ETB,Y
2000,6/6/2000,SMI,8,34.03,120.44,1057,F,MAG,
97,5/18/1998,SMI,8,34.03,120.44,1058,F,ACV,
94,5/29/1994,SMI,8,34.03,120.44,106,F,EAC,N
94,6/21/1994,SMI,8,34.03,120.44,106,F,EAC,N
90,7/13/1990,SMI,8,34.03,120.44,106,F,EAC,N
98,6/4/1998,SMI,8,34.03,120.44,106,F,EAC,
2002,7/12/2002,SMI,8,34.03,120.44,106,F,EAC,
96,6/17/1996,SMI,8,34.03,120.44,1070,F,EJR,Y
96,7/12/1996,SMI,8,34.03,120.44,1070,F,EJR,Y
93,7/26/1993,SMI,8,34.03,120.44,1070,F,ECK,Y
95,5/29/1995,SMI,8,34.03,120.44,1070,F,WJR,Y
95,6/4/1995,SMI,8,34.03,120.44,1070,F,WJR,Y
95,6/26/1995,SMI,8,34.03,120.44,1070,F,WJR,Y
91,7/7/1991,SMI,8,34.03,120.44,1070,F,WTB,N
92,7/18/1992,SMI,8,34.03,120.44,1070,F,EAC,N
94,8/4/1994,SMI,8,34.03,120.44,1070,F,EAC,N
96,6/12/1996,SMI,8,34.03,120.44,1070,F,EJR,Y
93,7/23/1993,SMI,8,34.03,120.44,1070,F,EAC,N
97,6/18/1997,SMI,8,34.03,120.44,1070,F,EJR,Y
97,6/21/1997,SMI,8,34.03,120.44,1070,F,EJR,Y
97,6/24/1997,SMI,8,34.03,120.44,1070,F,EJR,
97,7/29/1997,SMI,8,34.03,120.44,1070,F,EJR,Y
98,7/30/1998,SMI,8,34.03,120.44,1070,F,CWP,
99,6/11/1999,SMI,8,34.03,120.44,1070,F,EJR,Y
99,6/18/1999,SMI,8,34.03,120.44,1070,F,EJR,Y
99,6/23/1999,SMI,8,34.03,120.44,1070,F,EJR,Y
99,7/3/1999,SMI,8,34.03,120.44,1070,F,EJR,N
2000,5/30/2000,SMI,8,34.03,120.44,1070,F,ETB,
2000,6/17/2000,SMI,8,34.03,120.44,1070,F,EJR,Y
2000,6/16/2000,SMI,8,34.03,120.44,1070,F,EJR,P
2000,6/15/2000,SMI,8,34.03,120.44,1070,F,EJR,
2000,6/18/2000,SMI,8,34.03,120.44,1070,F,EJR,
2000,7/7/2000,SMI,8,34.03,120.44,1070,F,EJR,
2001,5/22/2001,SMI,8,34.03,120.44,1070,F,EJR,
2001,5/25/2001,SMI,8,34.03,120.44,1070,F,EACS,
